NOMBRE,DESCRIPCIÓN
COD_REGION,Código de Región
NOM_REGION,Nombre de Región
COD_PROVIN,Código de Provincia
NOM_PROVIN,Nombre de Provincia
COD_COMUNA,Código de Comuna
NOM_COMUNA,Nombre de Comuna
NUM_UV,N° de Unidad Vecinal
NOM_UV,Nombre de Unidad Vecinal
CODIGO_UV,Código de Unidad Vecinal
PORC_VIV,Porcentaje de viviendas de Manzanas o Entidades completas al interior de la unidad vecinal
PERSONAS,Número total de personas
VIV_PARTIC,Total de viviendas particulares
VIV_COLECT,Total viviendas colectivas
VOMP,Total viviendas particulares ocupadas con moradores presentes
TOT_VIV,Total viviendas
HOGARES,Cantidad de hogares
P01_1,Cantidad de viviendas tipo casa
P01_2,Cantidad de viviendas tipo departamento en edificio
P01_3,"Cantidad de viviendas tipo vivienda tradicional indígena (ruka, pae pae u otras)"
P01_4,Cantidad de viviendas tipo pieza en casa antigua o en conventillo
P01_5,"Cantidad de viviendas tipo mediagua, mejora, rancho o choza"
P01_6,"Cantidad de viviendas tipo móvil (carpa, casa rodante o similar)"
P01_7,Cantidad de viviendas tipo otro tipo de vivienda particular
P03A_1,Cantidad de viviendas con materialidad en paredes de Hormigón armado
P03A_2,"Cantidad de viviendas con materialidad en paredes de albañilería: bloque de cemento, piedra o ladrillo"
P03A_3,Cantidad de viviendas con materialidad en paredes de tabique forrado por ambas caras (madera o acero)
P03A_4,Cantidad de viviendas con materialidad en paredes de tabique sin forro interior (madera u otro)
P03A_5,"Cantidad de viviendas con materialidad en paredes de adobe, barro, quincha, pirca u otro artesanal tradicional"
P03A_6,"Cantidad de viviendascon materialidad en paredes de materiales precarios (lata, cartón, plástico, etc.)"
P03B_1,"Cantidad de viviendas con materialidad de techo tejas o tejuelas de arcilla, metálicas, de cemento, de madera, asfálticas o plásticas"
P03B_2,Cantidad de viviendas con materialidad de techo losa hormigón
P03B_3,"Cantidad de viviendascon materialidad de techo planchas metálicas de zinc, cobre, etc. o fibrocemento (tipo pizarreño)"
P03B_4,Cantidad de viviendas con materialidad de techo fonolita o plancha de fieltro embreado
P03B_5,"Cantidad de viviendas con materialidad de techo paja, coirón, totora o caña"
P03B_6,"Cantidad de viviendas con materialidad de techo materiales precarios (lata, cartón, plástico, etc.)"
P03B_7,Cantidad de viviendas con materialidad de techo sin cubierta sólida de techo
P03C_1,"Cantidad de viviendas con materialidad de piso parquet, piso flotante, cerámico, madera, alfombra, flexit, cubrepiso u otro similar, sobre radier o vigas de madera"
P03C_2,Viviendas con materialidad de piso radier sin revestimiento
P03C_3,Viviendas con materialidad de piso baldosa de cemento
P03C_4,Viviendas con materialidad de piso capa de cemento sobre tierra
P03C_5,Viviendas con materialidad de piso tierra
P05_1,Cantidad de viviendas con origen del agua por red pública
P05_2,Cantidad de viviendas con origen del agua por pozo o noria
P05_3,Cantidad de viviendas con origen del agua por camión aljibe
P05_4,"Cantidad de viviendas con origen del agua por río, vertiente, estero, canal, lago, etc."
